year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_,,
2011,24-Jan-11,02,,,,
2011,24-Jan-11,03,,,,
2011,24-Jan-11,04,,,,
2011,24-Jan-11,05,,,,
2011,24-Jan-11,06,,,,
2011,24-Jan-11,07,,,,
2011,24-Jan-11,08,,,,
2011,24-Jan-11,09,,,,
2011,24-Jan-11,10,,,,
2011,24-Jan-11,11,,,,
2011,24-Jan-11,12,,,,
2011,24-Jan-11,13,,,,
2011,24-Jan-11,14,,,,
2011,24-Jan-11,15,,,,
2011,24-Jan-11,16,,,,
2011,24-Jan-11,17,,,,
2011,24-Jan-11,18,,,,
2011,24-Jan-11,19,,,,
2011,24-Jan-11,20,,,,
2011,24-Jan-11,21,,,,
2011,24-Jan-11,22,,,,
2011,24-Jan-11,23,,,,
2011,24-Jan-11,24,,,,
2011,25-Jan-11,01,,,,
2011,25-Jan-11,02,,,,
2011,25-Jan-11,03,,,,
2011,25-Jan-11,04,,,,
2011,25-Jan-11,05,,,,
2011,25-Jan-11,06,,,,
2011,25-Jan-11,07,,,,
2011,25-Jan-11,08,,,,
2011,25-Jan-11,09,,,,
2011,25-Jan-11,10,,,,
2011,25-Jan-11,11,,,,
2011,25-Jan-11,12,,,,
2011,25-Jan-11,13,,,,
2011,25-Jan-11,14,,,,
2011,25-Jan-11,15,,,,
2011,25-Jan-11,16,,,,
2011,25-Jan-11,17,,,,
2011,25-Jan-11,18,,,,
2011,25-Jan-11,19,,,,
2011,25-Jan-11,20,,,,
2011,25-Jan-11,21,,,,
2011,25-Jan-11,22,,,,
2011,25-Jan-11,23,,,,
2011,25-Jan-11,24,,,,
2011,26-Jan-11,01,,,,
2011,26-Jan-11,02,,,,
2011,26-Jan-11,03,,,,
2011,26-Jan-11,04,,,,
2011,26-Jan-11,05,,,,
2011,26-Jan-11,06,,,,
2011,26-Jan-11,07,,,,
2011,26-Jan-11,08,,,,
2011,26-Jan-11,09,,,,
2011,26-Jan-11,10,,,,
2011,26-Jan-11,11,,,,
2011,26-Jan-11,12,,,,
2011,26-Jan-11,13,,,,
2011,26-Jan-11,14,,,,
2011,26-Jan-11,15,,,,
2011,26-Jan-11,16,,,,
2011,26-Jan-11,17,,,,
2011,26-Jan-11,18,,,,
2011,26-Jan-11,19,,,,
2011,26-Jan-11,20,,,,
2011,26-Jan-11,21,,,,
2011,26-Jan-11,22,,,,
2011,26-Jan-11,23,,,,
2011,26-Jan-11,24,,,,
2011,27-Jan-11,01,,,,
2011,27-Jan-11,02,,,,
2011,27-Jan-11,03,,,,
2011,27-Jan-11,04,,,,
2011,27-Jan-11,05,,,,
2011,27-Jan-11,06,,,,
2011,27-Jan-11,07,,,,
2011,27-Jan-11,08,,,,
2011,27-Jan-11,09,,,,
2011,27-Jan-11,10,,,,
2011,27-Jan-11,11,,,,
2011,27-Jan-11,12,,,,
2011,27-Jan-11,13,,,,
2011,27-Jan-11,14,,,,
2011,27-Jan-11,15,,,,
2011,27-Jan-11,16,,,,
2011,27-Jan-11,17,,,,
2011,27-Jan-11,18,,,,
2011,27-Jan-11,19,,,,
2011,27-Jan-11,20,,,,
2011,27-Jan-11,21,,,,
2011,27-Jan-11,22,,,,
2011,27-Jan-11,23,,,,
2011,27-Jan-11,24,,,,
2011,28-Jan-11,01,,,,
2011,28-Jan-11,02,,,,
2011,28-Jan-11,03,,,,
2011,28-Jan-11,04,,,,
2011,28-Jan-11,05,,,,
2011,28-Jan-11,06,,,,
2011,28-Jan-11,07,,,,
2011,28-Jan-11,08,,,,
2011,28-Jan-11,09,,,,
2011,28-Jan-11,10,,,,
2011,28-Jan-11,11,,,,
2011,28-Jan-11,12,,,,
2011,28-Jan-11,13,,,,
2011,28-Jan-11,14,,,,
2011,28-Jan-11,15,,,,
2011,28-Jan-11,16,,,,
2011,28-Jan-11,17,,,,
2011,28-Jan-11,18,,,,
2011,28-Jan-11,19,,,,
2011,28-Jan-11,20,,,,
2011,28-Jan-11,21,,,,
2011,28-Jan-11,22,,,,
2011,28-Jan-11,23,,,,
2011,28-Jan-11,24,,,,
2011,29-Jan-11,01,,,,
2011,29-Jan-11,02,,,,
2011,29-Jan-11,03,,,,
2011,29-Jan-11,04,,,,
2011,29-Jan-11,05,,,,
2011,29-Jan-11,06,,,,
2011,29-Jan-11,07,,,,
2011,29-Jan-11,08,,,,
2011,29-Jan-11,09,,,,
2011,29-Jan-11,10,,,,
2011,29-Jan-11,11,0.295,4,,
2011,29-Jan-11,12,0.325,4,,
2011,29-Jan-11,13,,,,
2011,29-Jan-11,14,,,,
2011,29-Jan-11,15,,,,
2011,29-Jan-11,16,,,,
2011,29-Jan-11,17,,,,
2011,29-Jan-11,18,,,,
2011,29-Jan-11,19,,,,
2011,29-Jan-11,20,,,,
2011,29-Jan-11,21,,,,
2011,29-Jan-11,22,,,,
2011,29-Jan-11,23,,,,
2011,29-Jan-11,24,,,,
2011,30-Jan-11,01,,,,
2011,30-Jan-11,02,,,,
2011,30-Jan-11,03,,,,
2011,30-Jan-11,04,,,,
2011,30-Jan-11,05,,,,
2011,30-Jan-11,06,,,,
2011,30-Jan-11,07,,,,
2011,30-Jan-11,08,,,,
2011,30-Jan-11,09,,,,
2011,30-Jan-11,10,,,,
2011,30-Jan-11,11,,,,
2011,30-Jan-11,12,,,,
2011,30-Jan-11,13,0.312,5,,
2011,30-Jan-11,14,0.266,4,,
2011,30-Jan-11,15,,,,
2011,30-Jan-11,16,,,,
2011,30-Jan-11,17,,,,
2011,30-Jan-11,18,,,,
2011,30-Jan-11,19,,,,
2011,30-Jan-11,20,,,,
2011,30-Jan-11,21,,,,
2011,30-Jan-11,22,,,,
2011,30-Jan-11,23,,,,
2011,30-Jan-11,24,,,,
2011,31-Jan-11,01,,,,
2011,31-Jan-11,02,,,,
2011,31-Jan-11,03,,,,
2011,31-Jan-11,04,,,,
2011,31-Jan-11,05,,,,
2011,31-Jan-11,06,,,,
2011,31-Jan-11,07,,,,
2011,31-Jan-11,08,,,,
2011,31-Jan-11,09,,,,
2011,31-Jan-11,10,,,,
2011,31-Jan-11,11,0.417,4,,
2011,31-Jan-11,12,0.446,4,,
2011,31-Jan-11,13,,,,
2011,31-Jan-11,14,0.336,4,,
2011,31-Jan-11,15,,,,
2011,31-Jan-11,16,,,,
2011,31-Jan-11,17,,,,
2011,31-Jan-11,18,,,,
2011,31-Jan-11,19,,,,
2011,31-Jan-11,20,,,,
2011,31-Jan-11,21,,,,
2011,31-Jan-11,22,,,,
2011,31-Jan-11,23,,,,
2011,31-Jan-11,24,,,,
2011,1-Feb-11,01,,,,
2011,1-Feb-11,02,,,,
2011,1-Feb-11,03,,,,
2011,1-Feb-11,04,,,,
2011,1-Feb-11,05,,,,
2011,1-Feb-11,06,,,,
2011,1-Feb-11,07,,,,
2011,1-Feb-11,08,,,,
2011,1-Feb-11,09,,,,
2011,1-Feb-11,10,,,,
2011,1-Feb-11,11,,,,
2011,1-Feb-11,12,,,,
2011,1-Feb-11,13,,,,
2011,1-Feb-11,14,,,,
2011,1-Feb-11,15,,,,
2011,1-Feb-11,16,,,,
2011,1-Feb-11,17,,,,
2011,1-Feb-11,18,,,,
2011,1-Feb-11,19,,,,
2011,1-Feb-11,20,,,,
2011,1-Feb-11,21,,,,
2011,1-Feb-11,22,,,,
2011,1-Feb-11,23,,,,
2011,1-Feb-11,24,,,,
2011,2-Feb-11,01,,,,
2011,2-Feb-11,02,,,,
2011,2-Feb-11,03,,,,
2011,2-Feb-11,04,,,,
2011,2-Feb-11,05,,,,
2011,2-Feb-11,06,,,,
2011,2-Feb-11,07,,,,
2011,2-Feb-11,08,,,,
2011,2-Feb-11,09,,,,
2011,2-Feb-11,10,,,,
2011,2-Feb-11,11,,,,
2011,2-Feb-11,12,,,,
2011,2-Feb-11,13,,,,
2011,2-Feb-11,14,,,,
2011,2-Feb-11,15,,,,
2011,2-Feb-11,16,,,,
2011,2-Feb-11,17,,,,
2011,2-Feb-11,18,,,,
2011,2-Feb-11,19,,,,
