year,LOCAL_DAY,LOCAL_HOUR_END,METERED_MW,_FREQ_
2011,1/14/11,08,27.271,
2011,1/14/11,09,20.491,
2011,1/14/11,10,15.836,
2011,1/14/11,11,15.982,
2011,1/14/11,12,14.86,
2011,1/14/11,13,13.952,
2011,1/14/11,14,15.346,
2011,1/14/11,15,16.477,
2011,1/14/11,16,18.201,
2011,1/14/11,17,22.342,
2011,1/14/11,18,32.087,
2011,1/14/11,19,50.5,
2011,1/14/11,20,58.468,
2011,1/14/11,21,59.15,
2011,1/14/11,22,74.519,
2011,1/14/11,23,68.231,
2011,1/14/11,24,49.974,
2011,1/15/11,01,44.832,
2011,1/15/11,02,33.343,
2011,1/15/11,03,32.373,
2011,1/15/11,04,39.908,
2011,1/15/11,05,44.333,
2011,1/15/11,06,51.817,
2011,1/15/11,07,51.9,
2011,1/15/11,08,38.276,
2011,1/15/11,09,18.772,
2011,1/15/11,10,4.438,
2011,1/15/11,11,4.39,
2011,1/15/11,12,1.258,
2011,1/15/11,13,3.42,
2011,1/15/11,14,9.06,
2011,1/15/11,15,13.262,
2011,1/15/11,16,16.447,
2011,1/15/11,17,19.711,
2011,1/15/11,18,31.94,
2011,1/15/11,19,37.162,
2011,1/15/11,20,31.627,
2011,1/15/11,21,30.777,
2011,1/15/11,22,32.031,
2011,1/15/11,23,47.645,
2011,1/15/11,24,52.198,
2011,1/16/11,01,64.741,
2011,1/16/11,02,71.216,
2011,1/16/11,03,72.937,
2011,1/16/11,04,75.449,
2011,1/16/11,05,74.945,
2011,1/16/11,06,73.703,
2011,1/16/11,07,84.676,
2011,1/16/11,08,74.336,
2011,1/16/11,09,71.504,
2011,1/16/11,10,81.221,
2011,1/16/11,11,102.936,
2011,1/16/11,12,111.577,
2011,1/16/11,13,113.873,
2011,1/16/11,14,98.17,
2011,1/16/11,15,80.695,
2011,1/16/11,16,96.007,
2011,1/16/11,17,125.385,
2011,1/16/11,18,124.212,
2011,1/16/11,19,110.268,
2011,1/16/11,20,139.11,
2011,1/16/11,21,126.893,
2011,1/16/11,22,116.614,
2011,1/16/11,23,123.066,
2011,1/16/11,24,118.765,
2011,1/17/11,01,115.602,
2011,1/17/11,02,106.705,
2011,1/17/11,03,97.043,
2011,1/17/11,04,80.364,
2011,1/17/11,05,88.205,
2011,1/17/11,06,112.877,
2011,1/17/11,07,123.432,
2011,1/17/11,08,121.518,
2011,1/17/11,09,102.591,
2011,1/17/11,10,62.058,
2011,1/17/11,11,44.268,
2011,1/17/11,12,31.47,
2011,1/17/11,13,24.158,
2011,1/17/11,14,10.531,
2011,1/17/11,15,11.309,
2011,1/17/11,16,11.309,(interpolated)
2011,1/17/11,17,10.179,
2011,1/17/11,18,17.33,
2011,1/17/11,19,13.546,
2011,1/17/11,20,17.515,
2011,1/17/11,21,15.798,
2011,1/17/11,22,19.387,
2011,1/17/11,23,25.523,
2011,1/17/11,24,27.142,
2011,1/18/11,01,31.933,
2011,1/18/11,02,37.613,
2011,1/18/11,03,55.139,
2011,1/18/11,04,54.557,
2011,1/18/11,05,64.643,
2011,1/18/11,06,70.857,
2011,1/18/11,07,78.525,
2011,1/18/11,08,107.795,
2011,1/18/11,09,114.259,
2011,1/18/11,10,116.099,
2011,1/18/11,11,104.426,
2011,1/18/11,12,82.481,
2011,1/18/11,13,76.95,
2011,1/18/11,14,73.023,
2011,1/18/11,15,71.927,
2011,1/18/11,16,95.587,
2011,1/18/11,17,121.575,
2011,1/18/11,18,111.145,
2011,1/18/11,19,104.91,
2011,1/18/11,20,84.737,
2011,1/18/11,21,66.727,
2011,1/18/11,22,53.626,
2011,1/18/11,23,38.959,
2011,1/18/11,24,29.939,
2011,1/19/11,01,20.054,
2011,1/19/11,02,20.084,
2011,1/19/11,03,36.17,
2011,1/19/11,04,33.254,
2011,1/19/11,05,35.701,
2011,1/19/11,06,45.002,
2011,1/19/11,07,45.371,
2011,1/19/11,08,43.796,
2011,1/19/11,09,34.636,
2011,1/19/11,10,33.297,
2011,1/19/11,11,37.284,
2011,1/19/11,12,31.651,
2011,1/19/11,13,30.927,
2011,1/19/11,14,27.809,
2011,1/19/11,15,26.49,
2011,1/19/11,16,29.093,
2011,1/19/11,17,38.863,
2011,1/19/11,18,45.983,
2011,1/19/11,19,34.058,
2011,1/19/11,20,20.586,
2011,1/19/11,21,20.242,
2011,1/19/11,22,15.493,
2011,1/19/11,23,13.246,
2011,1/19/11,24,14.149,
2011,1/20/11,01,17.228,
2011,1/20/11,02,16.904,
2011,1/20/11,03,22.246,
2011,1/20/11,04,30.65,
2011,1/20/11,05,54.537,
2011,1/20/11,06,69.318,
2011,1/20/11,07,61.358,
2011,1/20/11,08,48.035,
2011,1/20/11,09,33.145,
2011,1/20/11,10,34.781,
2011,1/20/11,11,22.695,
2011,1/20/11,12,27.876,
2011,1/20/11,13,59.178,
2011,1/20/11,14,64.021,
2011,1/20/11,15,61.006,
2011,1/20/11,16,56.544,
2011,1/20/11,17,72.14,
2011,1/20/11,18,77.549,
2011,1/20/11,19,60.865,
2011,1/20/11,20,30, (interpolated)
2011,1/20/11,21,30, (interpolated)
2011,1/20/11,22,30, (interpolated)
2011,1/20/11,23,30, (interpolated)
2011,1/20/11,24,30, (interpolated)
2011,1/21/11,01,30, (interpolated)
2011,1/21/11,02,30, (interpolated)
2011,1/21/11,03,2.423,
2011,1/21/11,04,4.233,
2011,1/21/11,05,15.772,
2011,1/21/11,06,36.969,
2011,1/21/11,07,56.607,
2011,1/21/11,08,58.967,
2011,1/21/11,09,60.194,
2011,1/21/11,10,62.227,
2011,1/21/11,11,52.394,
2011,1/21/11,12,50.393,
2011,1/21/11,13,58.635,
2011,1/21/11,14,65.749,
2011,1/21/11,15,118.471,
2011,1/21/11,16,151.763,
2011,1/21/11,17,164.809,
2011,1/21/11,18,181.104,
2011,1/21/11,19,182.768,
2011,1/21/11,20,192.082,
2011,1/21/11,21,198.896,
